LegalNm,BusNm,Address,City,State,Country,Zipcode,Phone_Number,Website,Total_Assets,Clients
BOCA RETIREMENT STRATEGIES INC.,BOCA RETIREMENT STRATEGIES INC.,,,,,,413-358-1176,https://www.bocaretirement.com,10585261,51-100
COX GESTAO DE RECURSOS LTDA.,COX CAPITAL MANAGEMENT,"RUA JOAQUIM FLORIANO, 466 - CJ 1203",SÃO PAULO,,Brazil,04534-002,+55.11.3321.7100,HTTP://WWW.COXCAP.COM.BR,10590091,
"ROTH INVESTMENT MANAGEMENT, LLC","ROTH INVESTMENT MANAGEMENT, LLC",,,,,,636-432-2000,https://www.investwithroth.com,10591577,1-10
HINDE GROUP LLC,HINDE GROUP LLC,580 CALIFORNIA ST.,SAN FRANCISCO,CA,United States,94104,415-992-8125,HTTP://WWW.HINDE-GROUP.COM,10595005,
"TEXAS REGISTERED FINANCIAL CONSULTANTS, PLLC",ASSET GROWTH ASSOCIATES WEALTH ADVISORS,1391 CALDER AVENUE,BEAUMONT,TX,United States,77701,409 840-6900,HTTP://WWW.SAVEMYRETIREMENT.COM,10597952,1-10
CSUITE INVESTMENT LLC,CSUITE INVESTMENT LLC,"535 MISSION ST., 14TH FL",SAN FRANCISCO,CA,United States,94105,415-861-9461,HTTP://WWW.CSUITEINVESTMENT.COM,10598134,1-10
"TERMINUS, LLC","TERMINUS, LLC",,,,,,888-456-7597,HTTP://WWW.TERMINUSINVESTMENT.COM,10600000,
"LIFETIME STRATEGIES, LLC","LIFETIME STRATEGIES, LLC",200 E COLLEGE ST,GRIFFIN,GA,United States,30224,770-228-0777,http://www.lifetime-strategies.com/,10606131,1-10
"RUTHERFORD CAPITAL, INC.","RUTHERFORD CAPITAL, INC.",5925 GRANITE LAKE DRIVE,GRANITE BAY,CA,United States,95746,916-462-8931,,10609479,
KBC HOLDINGS LLC,KANON BLOCH CARRE,,,,,,781 792 2930,,10612784,1-10
"RLR CAPITAL MANAGEMENT, INC.","RLR CAPITAL MANAGEMENT, INC.","76 ELM STREET, SUITE 205",NEW CANAAN,CT,United States,06840,203-966-1801,HTTP://RLRCAPITALMANAGEMENT.COM,10613297,
DARREN MOSS WEALTH MANAGEMENT LLC,D. MOSS WEALTH MANAGEMENT,,,,,,(310) 579-4050,https://www.dmosswealth.com,10616423,1-10
BRIAN SCOTT KUHENS,BRIAN SCOTT KUHENS,,,,,,(864) 431-5195,,10619252,0
"CYGNET INVESTMENT CO., INC.","CYGNET INVESTMENT CO., INC.",,,,,,203-856-0774,,10619473,0
"LASETER, DONALD LEE",FINANCIAL CONSULTING SERVICES,,,,,,214-923-8767,,10625492,1-10
"TORRE, FEDERICO",TORRE FINANCIAL,,,,,,8326060294,https://torrefinancial.com,10629776,
"GOLD COAST ADVISORS, LLC","GOLD COAST ADVISORS, LLC","130 SHORE ROAD, SUITE 235",PORT WASHINGTON,NY,United States,11050,516-944-0081,HTTPS://WWW.GCALLC.COM,10630000,1-10
"TRITON INVESTMENTS, LLC","TRITON INVESTMENTS, LLC",,,,,,701-425-2016,https://tritoninvestments.net,10632563,
"AEGIS ASSET MANAGEMENT, INC.","AEGIS ASSET MANAGEMENT, INC.",2331 WEST LINCOLN AVENUE,ANAHEIM,CA,United States,92801,714-635-9900,,10636628,
SIPHRON CAPITAL MANAGEMENT,SIPHRON CAPITAL MANAGEMENT,3500 WEST OLIVE AVENUE,BURBANK,CA,United States,91505,(310) 858-7281,HTTP://WWW.SIPHRONCAPITAL.COM,10636764,
"WEALTH PLANNING SYSTEMS, LLC","WEALTH PLANNING SYSTEMS, LLC",,,,,,952-881-6081,,10640000,0
"TUYYO PLANNING GROUP, LLC",TUYYO PLANNING GROUP,,,,,,512-522-0201,http://www.tuyyoplanning.com,10640805,26-50
"CHARTER INVESTMENT SERVICES, INC.","CHARTER INVESTMENT SERVICES, INC.",,,,,,402-680-8185,,10661642,0
"GOOD LIFE ASSET STRATEGIES, LLC",GOOD LIFE ASSET STRATEGIES,1401 JONES STREET,FORT WORTH,TX,United States,76102,405-757-0210,https://www.goodlifeassetstrategies.com,10669000,0
J1 CAPITAL LLC,J1 CAPITAL LLC,,,,,,513-580-8088,,10678343,0
"EXHALE WEALTH MANAGEMENT, LLC",EXHALE WEALTH,,,,,,858-231-3645,https://www.linkedin.com/company/82505167,10688568,1-10
"SWEETWOOD FAMILY CAPITAL, LLC","SWEETWOOD FAMILY CAPITAL, LLC",,,,,,(207) 272-3133,https://sweetwoodfamily.capital,10695708,1-10
CUSTOM FUNDS MANAGEMENT LLC,CUSTOM FUNDS MANAGEMENT LLC,,,,,,612-720-5170,HTTPS://WWW.LINKEDIN.COM,10700000,
PLANIT FINANCIAL LLC,PLANIT FINANCIAL LLC,,,,,,206-660-2821,https://linkedin.com/in/keith-mayfield-planit-401k,10700000,
"STRATTON CAPITAL MANAGEMENT, LLC","STRATTON CAPITAL MANAGEMENT, LLC",,,,,,603-472-4044,,10700000,0
RICHARD A. STEBBINS,RICHARD A. STEBBINS CPA CFP CMFC,,,,,,2488407810,,10700000,0
"WEISBERG, PHILIP SIDNEY",WEISBERG FINANCIAL SERVICES,,,,,,585-467-3266,,10700000,0
ABC WEALTH INC,ABC WEALTH INC,,,,,,908-655-6494,HTTP://www.ABCWealth.com/,10700002,0
"SURE FOUNDATION WEALTH PLANNING, LLC","SURE FOUNDATION WEALTH PLANNING, LLC",295 WEST TRAIL,GRAYSLAKE,IL,United States,60030,847-244-6149,https://www.surefoundationwealth.com,10701886,0
"BELWOOD CAPITAL MANAGEMENT, LLC","BELWOOD CAPITAL MANAGEMENT, LLC",,,,,,347-255-1737,,10704545,
LTS FINANCIAL GROUP,LTS FINANCIAL GROUP,6300 RIDGLEA PLACE,FT. WORTH,TX,United States,76116,817-585-1590,,10707308,
GILBERT INVESTMENT MANAGEMENT INC,GILBERT INVESTMENT MANAGEMENT,20 MCKENNA TER,BOSTON,MA,United States,02132,207-232-8323,http://www.gilbertim.com,10719291,0
"CASHEN ADVISORY SERVICES, LLC","CASHEN ADVISORY SERVICES, LLC",,,,,,(317) 733-2976,,10727298,0
WARWICK INVESTMENT MANAGEMENT LLC,WARWICK INVESTMENT MANAGEMENT,"129 N WEST STREET, SUITE 4",EASTON,MD,United States,21601,(410) 690-4503,HTTP://WWW.WARWICK-INVESTMENT.COM,10740000,
PROVIDERS & FAMILIES WEALTH MANAGEMENT,PROVIDERS & FAMILIES WEALTH MANAGEMENT,,,,,,7176365142,https://providersandfamilies.com/,10744246,0
SAIL LOFT CAPITAL MANAGEMENT LLC,SAIL LOFT CAPITAL MANAGEMENT LLC,,,,,,781-476-5170,,10748915,
"HAWK INVESTMENT MANAGEMENT, LLC",HAWK100,555 METRO PLACE NORTH,DUBLIN,OH,United States,43017,614-791-4295,HTTP://WWW.HAWK100.COM,10751000,11-25
INCOME MANAGEMENT COMPANY,INCOME MANAGEMENT COMPANY,,,,,,303-697-4910,,10758000,
ML WEALTH LLC,MONEYLION,30 WEST 21ST STREET,NEW YORK,NY,United States,10010,332-238-0732,HTTPS://WWW.INSTAGRAM.COM/MONEYLIONINC/,10760450,0
"AEGIS INVESTMENT MANAGEMENT, LLC","AEGIS INVESTMENT MANAGEMENT, LLC",406 MAIN STREET,RED WING,MN,United States,55066,(612) 875-0105,https://www.AEGIS-invest.com,10775000,0
"FORWARD FINANCIAL ADVISORS, LLC","FORWARD FINANCIAL ADVISORS, LLC",,,,,,786-877-1891,https://forwardfinancialadv.com/,10781282,1-10
MATADOR FINANCIAL PLANNING LLC,MATADOR FINANCIAL,1102 A1A N.,PONTE VEDRA BEACH,FL,United States,32082,(844) 262-8236,HTTP://WWW.MATADORFINANCIAL.NET,10789137,0
HIGHRISE WEALTH MANAGEMENT,HIGHRISE WEALTH MANAGEMENT,9495 SW 72 ST,MIAMI,FL,United States,33156,786-370-6125,https://Highrisewm.com,10794949,26-50
JOSEPH L. ALDRIDGE,JLA INVESTMENT MANAGEMENT,,,,,,510-506-3064,,10800000,0
"ANGLIA, INC.",ANGLIA ADVISORS,70 EAST SUNRISE HWY,VALLEY STREAM,NY,United States,11581,(929) 677 6774,https://www.angliaadvisors.com/,10800000,51-100
REAGAN FINANCIAL PLANNING LLC,REAGAN FINANCIAL PLANNING LLC,170 BOSTWICK ROAD,OXFORD,GA,United States,30054,770-784-1893,HTTP://WWW.REAGANFINANCIALPLANNING.COM,10800000,26-50
"BOSWORTH FINANCIAL SERVICES, LLC","BOSWORTH FINANCIAL SERVICES, LLC",,,,,,646-872-7980,HTTP://WWW.BOSWORTHFINANCIAL.COM,10804135,1-10
"SPONDEO CAPITAL, LLC","SPONDEO CAPITAL, LLC",,,,,,213-841-3993,,10804606,0
METAMORPHIC CAPITAL LLC,METAMORPHIC CAPITAL,845 TEXAS AVENUE,HOUSTON,TX,United States,77002,281-666-4215,https://www.linkedin.com/company/metamorphic-capital,10818051,11-25
JK PWA LLC,JK PRIVATE WEALTH ASSOCIATES,,,,,,410-252-1173,https://www.linkedin.com/in/jeffkeister/,10831223,0
"INSIDE EDGE CAPITAL MANAGEMENT, LLC","INSIDE EDGE CAPITAL MANAGEMENT, LLC",,,,,,888-399-0529,http://www.InsideEdgeCapital.com,10832782,1-10
"LEGACY FAMILY OFFICE, LLC","LEGACY FAMILY OFFICE, LLC",9990 COCONUT ROAD,BONITA SPRINGS,FL,United States,34135,239-949-1982,HTTPS://WWW.LINKEDIN.COM/COMPANY/LEGACY-FAMILY-OFFICE/,10833308,11-25
"VON KOHORN RESEARCH & ADVISORY, INC.","VON KOHORN RESEARCH & ADVISORY, INC.","10 WRIGHT ST., SUITE 120",WESTPORT,CT,United States,06880,203 454 3200,HTTP://VKRA.COM,10834255,
"MARCELLUS CAPITAL MANAGEMENT, LLC","MARCELLUS CAPITAL MANAGEMENT, LLC",3460 COUNTY LINE RD,SKANEATELES,NY,United States,13152,315-707-9024,HTTP://WWW.MARCELLUSCAPITAL.COM,10841000,
"SANTA MONICA WEALTH MANAGEMENT, LLC","SANTA MONICA WEALTH MANAGEMENT, LLC",,,,,,713-714-2327,HTTP://WWW.SANTAMONICAWEALTH.COM/,10844327,1-10
"SIGNAL FINANCIAL PLANNING, LLC","SIGNAL FINANCIAL PLANNING, LLC",,,,,,(425) 748-7007,HTTP://WWW.SIGNALFINANCIALPLANNING.COM,10846271,11-25
INSIGHT ASSET MANAGEMENT LLC,INSIGHT ASSET MANAGEMENT,,,,,,212-223-2715,HTTP://INSIGHT-ASSET-MANAGEMENT-LLC.BLOGSPOT.COM/,10848349,1-10
CATERER GOODMAN PARTNERS LTD,CATERER GOODMAN PARTNERS LTD,,,,,,61-7-5563-8340,https://www.facebook.com/CatererGoodmanPartners/,10855589,
"BASELINE INVESTMENTS, LLC","BASELINE INVESTMENTS, LLC",FOUR EMBARCADERO CTR,SAN FRANCISCO,CA,United States,94111,702-793-4450,https://www.facebook.com/Baseline-Investments-374574276398128/,10860000,0
"MANDEL INVESTMENT MANAGEMENT, INC.","MANDEL INVESTMENT MANAGEMENT, INC.",,,,,,702-456-4177,,10864214,
"SEDONA ASSET MANAGEMENT SERVICES, LLC","SEDONA ASSET MANAGEMENT SERVICES, LLC",,,,,,480-614-5818,,10867924,
"FBL WEALTH MANAGEMENT, LLC","FBL WEALTH MANAGEMENT, LLC",5400 UNIVERSITY AVENUE,WEST DES MOINES,IA,United States,50266,515-225-5400,https://www.linkedin.com/company/farm-bureau-financial-services/,10869431,26-50
"LARSON WEALTH MANAGEMENT, LLC","LARSON WEALTH MANAGEMENT, LLC",4500 S. LAKESHORE DR,TEMPE,AZ,United States,85282,480-699-5540,HTTP://WWW.LARSONWM.COM,10870000,101-250
GUERNICA LLC,GUERNICA CAPITAL,4100 E. WILDHORSE LANE,BOISE,ID,United States,83712,208-830-3441,,10874850,0
ILIAD WEALTH SOLUTIONS LLC,ILIAD WEALTH SOLUTIONS,6991 E CAMELBACK RD,PHOENIX,AZ,United States,85251,412-310-3207,,10881536,1-10
AQUILA WEALTH ADVISORS LLC,AQUILA WEALTH ADVISORS,,,,,,(805)250-4552,https://www.facebook.com/aquilawealth,10887620,26-50
"WASDEN ASSOCIATES, INC.",WASDEN FINANCIAL MANAGEMENT,,,,,,575-737-9391,,10888210,
"HORNSBY ASSET MANAGEMENT, LLC","HORNSBY ASSET MANAGEMENT, LLC",,,,,,850-803-1866,http://www.facebook.com/HornsbyRIA,10900000,
"ASSET PRESERVATION CAPITAL, LTD","ASSET PRESERVATION CAPITAL, LTD",3331 W. BIG BEAVER RD,TROY,MI,United States,48084,248-649-4759,https://twitter.com/APC_Advisors/status/1480630604890791937,10900000,101-250
HIGHLAND MB WEALTH LLC,HIGHLAND MB WEALTH LLC,3701 HIGHLAND AVE SUITE 301,MANHATTAN BEACH,CA,United States,90266,310-545-4553,,10901308,0
KIDD VISION CAPITAL LLC,KIDD VISION CAPITAL LLC,1500 NORTHWEST BLVD,FRANKLIN,LA,United States,70538,(225) 287-3812,https://www.kiddvc.com,10904408,
"HARPER CAPITAL MANAGEMENT, LTD.","HARPER CAPITAL MANAGEMENT, LTD.",10 JULIA LANE SUITE 101,COLD SPRING,NY,United States,10516-0312,845-265-4104,,10906053,0
"FORTE ADVISORY SERVICES,LLC",PIANO WEALTH MANAGEMENT,600 FISHERS STATION DRIVE,VICTOR,NY,United States,14564,(585) 204-0001,https://www.linkedin.com/in/david-piano-57745b49/,10907626,0
"OREGON FINANCIAL PRODUCTS & SERVICES, LLC","OREGON FINANCIAL PRODUCTS & SERVICES, LLC",5741 NE GLISAN ST.,PORTLAND,OR,United States,97213-3793,503-232-4214,,10907661,
"PYRAMID PEAK CAPITAL, LLC","PYRAMID PEAK CAPITAL, LLC",,,,,,(914) 262-2072,,10915161,
RHYTHMIC CAPITAL MANAGEMENT LLC,RHYTHMIC CAPITAL MANAGEMENT LLC,222 S. MAIN ST.,SALT LAKE CITY,UT,United States,84101,212-257-1730,HTTP://WWW.RHYTHMICCAPITAL.COM,10919367,
GLADSTONE FINANCIAL LLC,GLADSTONE FINANCIAL LLC,,,,,,562-716-0733,HTTPS://WWW.GLADSTONEFINANCIALLLC.COM,10924000,0
OWM INC.,OLYMPIA WEALTH MANAGEMENT,3370 MT DIABLO BLVD.,LAFAYETTE,CA,United States,94549,(925) 935-1111,,10924003,0
"NIGIDO MULLIN INVESTMENT STRATEGIES, LLC","NIGIDO MULLIN INVESTMENT STRATEGIES, LLC",170 TAMARACK CIRCLE,SKILLMAN,NJ,United States,08558-2021,609-252-9951,HTTPS://WWW.NIGIDOMULLIN.COM,10932000,0
"VRWA, LLC",VALLEY RIDGE WEALTH,6505 LIMERICK DR.,EDINA,MN,United States,55439,612-246-0314,HTTPS://WWW.VALLEYRIDGEWEALTH.COM,10932401,11-25
"GREAT BAY WEALTH MANAGEMENT, LLC",GREAT BAY WEALTH MANAGEMENT,,,,,,770-265-9489,HTTPS://GREATBAYWEALTHMANAGEMENT.COM,10932562,0
FCG WEALTH MANAGEMENT LLC,FCG WEALTH MANAGEMENT LLC,720 E. CENTER AVE,VISALIA,CA,United States,93292,559-679-5010,https://fcgwealth.com,10935000,1-10
"COY CAPITAL MANAGEMENT, INC.",COY CAPITAL MANAGEMENT,2790 MOSSIDE BOULEVARD,MONROEVILLE,PA,United States,15146,412-825-4040,HTTPS://WWW.COYCAPITAL.COM,10941450,1-10
"COLLABRIA CAPITAL, INC","COLLABRIA CAPITAL, INC",,,,,,925-271-9331,HTTPS://TWITTER.COM/PAULJSAAD,10941453,1-10
"HERMITAGE ADVISORS, LTD.","HERMITAGE ADVISORS, LTD.",,,,,,(415) 692-3333,https://www.linkedin.com/company/hermitage-advisors/about/,10957366,
"SHOPES, ROBERT JAMES",FAVRILE FINANCIAL,5755 OBERLIN DRIVE,SAN DIEGO,CA,United States,92121,858-525-1368,https://www.facebook.com/Favrile-Finance-102839337740837/,10958308,1-10
BTV CAPITAL LLC,BTV CAPITAL LLC,1 STEELE STREET SUITE #109,BURLINGTON,VT,United States,05401,802-864-3324,,10958476,
ATHENS IMPACT LLC,ATHENS IMPACT SOCIALLY RESPONSIBLE INVESTMENTS,264 EAST STATE STREET,ATHENS,OH,United States,45701,740-447-5540,https://www.athensimpact.com,10961241,26-50
TREXLER FINANCIAL ADVISORS LLC,TREXLER FINANCIAL ADVISORS LLC,3 EAST 3RD STREET,PANA,IL,United States,62557,(217) 562-5016,https://www.trexlerfinancial.com,10965607,11-25
"VALUEPOINT PARTNERS, INC.","VALUEPOINT PARTNERS, INC.",,,,,,501-228-6700,,10973437,
"TRAC ADVISOR GROUP, INC.","TRAC ADVISOR GROUP, INC.",2272 36TH AVE NW,NORMAN,OK,United States,73072,405-615-4465,https://www.facebook.com/TRAC-Advisor-Group-Inc-230014750978185,10974087,
KEITH MCBRIDE FINANCIAL SERVICES INC.,KEITH MCBRIDE FINANCIAL SERVICES INC.,,,,,,310-579-7399,,10977648,26-50
MLN INVESTMENTS LLC,MLN INVESTMENTS LLC,123 WOODLET LANE,BOLINGBROOK,IL,United States,60490,855-614-0125,HTTPS://TWITTER.COM/MLNINVEST,10980300,
"HICKS FINANCIAL PARTNERS, LLC","HICKS FINANCIAL PARTNERS, LLC","225 N. BENNETT STREET, SUITE G",SOUTHERN PINES,NC,United States,28387,877-921-6478,https://www.linkedin.com/in/tim-hicks-hfp/,10999776,51-100
"PREMIER WEALTH ADVISORS, INC.","PREMIER WEALTH ADVISORS, INC.",6200 CANOGA AVE. SUITE 202,WOODLAND HILLS,CA,United States,91367,818-888-4646,HTTP://WWW.PREMIERWEALTHCOACH.COM,11000000,51-100
KEITZ INVESTMENT MANAGEMENT LTD.,KEITZ INVESTMENT MANAGEMENT LTD.,,,,,,215-887-5100,,11000000,0
POINTE EQUITY PARTNERS LLC,POINTE EQUITY PARTNERS LLC,,,,,,248-839-7988,,11000000,11-25
"ARTHUR, JOHN ERIC","JA INVESTMENT MANAGEMENT, LLC",600B PRESTIGE PARK DRIVE,HURRICANE,WV,United States,25526,304-757-6443,HTTP://WWW.JAINVESTMENT.COM,11000000,101-250
"MICHELANGELO PARTNERS, LLC","MICHELANGELO PARTNERS, LLC",,,,,,704-904-5290,HTTP://WWW.MICHELANGELOPARTNERS.COM,11000000,
VOLTZ ASSET MANAGEMENT INC.,VOLTZ ASSET MANAGEMENT INC.,,,,,,(646) 460-0132,HTTP://VAMI.CO/,11000000,0
"TUREK, LEE M.",FIRST MIDWEST INVESTMENTS,,,,,,507-452-0303,,11000000,
ANDERS WEALTH MANAGEMENT INC,ANDERS WEALTH MANAGEMENT INC,7 FOURTH STREET,PETALUMA,CA,United States,94952,707-765-1864,HTTP://WWW.ANDERSWEALTH.COM,11000000,1-10
MELCHIOR INVESTMENTS LLC,MELCHIOR INVESTMENTS LLC,1551 N. FLAGLER DRIVE,WEST PALM BEACH,FL,United States,33401,561-289-7257,,11000000,0
"SKIVER INVESTMENT SERVICES, INC.",SKIVER INVESTMENT SERVICES,6715 PARK AVENUE,ALLEN PARK,MI,United States,48101,(313) 388-0486,,11000000,1-10
"CAPITAL MANAGEMENT INVESTOR SERVICES, INC.","CAPITAL MANAGEMENT INVESTOR SERVICES, INC.",1221 BRICKELL AVE,MIAMI,FL,United States,33131,561-361-2833,,11000000,0
"JSB CAPITAL MANAGEMENT, LLC","JSB CAPITAL MANAGEMENT, LLC",1442 CAMINO DEL MAR,DEL MAR,CA,United States,92014,858-436-2400,HTTP://JSBCAP.COM,11000000,1-10
"PEARSON INVESTMENT MANAGEMENT, LLC","PEARSON INVESTMENT MANAGEMENT, LLC",,,,,,404-692-3085,HTTP://WWW.PEARSON-IM.COM,11000000,1-10
"FOCUS INVESTMENT ADVISORS, LLC","FOCUS INVESTMENT ADVISORS, LLC",40 SW 13TH STREET,MIAMI,FL,United States,33130,305-494-6551,http://www.focusinvest.net,11000000,
"BARONY FINANCIAL GROUP, LLC",BARONY FINANCIAL GROUP,"219 HWY 52 NORTH, STE. D",MONCKS CORNER,SC,United States,29461,843-761-5970,,11000000,1-10
"A NARROW ROAD, LLC","A NARROW ROAD, LLC",1570 SECOR FARMS TRAIL,TRAVERSE CITY,MI,United States,49685,231.620.3242,https://anarrowroad.com,11000000,11-25
"KANASA FINANCIAL GROUP, LLC","KANASA FINANCIAL GROUP, LLC",55 S. MAIN ST.,NAPERVILLE,IL,United States,60540,630-428-3311,HOMERLAWOFFICES.COM,11000000,1-10
KENNEDY INVESTMENT COUNSEL LLC,KENNEDY INVESTMENT COUNSEL LLC,,,,,,248-561-4597,https://www.linkedin.com/company/28792499,11000000,0
BALSER WEALTH MANAGEMENT LLC,"BALSER WEALTH MANAGEMENT, LLC",,,,,,440-610-3012,HTTP://WWW.BALSERWEALTH.COM,11000000,
"SAPARETO, FRANK V.",FVS FINANCIAL,,,,,,603-894-4964,,11000000,11-25
"EPIPHANY FINANCIAL COACHING, LLC",EPIPHANY FINANCIAL COACHING,7500 COLLEGE BLVD.,OVERLAND PARK,KS,United States,66210,913-490-4400,https://epiphany.adxleader.com,11000000,1-10
ENDEAVOR ADVISORS LLC,ENDEAVOR ADVISORS LLC,2801 E CAMELBACK RD,PHOENIX,AZ,United States,85016,480-550-8316,https://endeavoradvisorsllc.com/,11000000,11-25
ROLLINGWAVE CAPITAL LLC,ROLLINGWAVE CAPITAL,412 CAPISTRANO DR,PALM BEACH GARDENS,FL,United States,33410,8104447988,http://www.rollingwavecapital.com,11000000,0
"MASTER PLAN WEALTH MANAGEMENT, L.L.C.","MASTER PLAN WEALTH MANAGEMENT, L.L.C.",,,,,,919-533-6413,HTTPS://WWW.MASTERPLANWEALTH.COM,11005238,11-25
PREMIER CAPITAL MANAGEMENT INC,PREMIER CAPITAL MANAGEMENT INC,1145 S 800 E,OREM,UT,United States,84097,801-225-5050,,11006351,0
"ANDREWS WEALTH MANAGEMENT, LLC","ANDREWS WEALTH MANAGEMENT, LLC",1549 BOETTLER ROAD,UNIONTOWN,OH,United States,44685,330-644-9000,HTTPS://WWW.ANDREWSADVISORS.COM,11008799,51-100
"PADOVANI ASSET MANAGEMENT, INC.",PADOVANI ASSET MANAGEMENT,,,,,,914-400-1800,https://linkedin.com/in/paul-padovani-0b484b33,11013288,1-10
PROSPERITAS WEALTH MANAGEMENT LLC,PROSPERITAS WEALTH MANAGEMENT LLC,,,,,,(888) 384-2046,https://www.facebook.com/ProsperitasWM,11018980,1-10
NEXT BLOOM WEALTH LLC,NEXT BLOOM WEALTH,"1520 CLAY STREET, SUITE E1",NORTH KANSAS CITY,MO,United States,64116,(816) 307-0548,http://www.linkedin.com/company/next-bloom-wealth,11022057,11-25
"COVINGTON INVESTMENT MANAGEMENT, LLC","COVINGTON INVESTMENT MANAGEMENT, LLC",639 LOYOLA AVENUE,NEW ORLEANS,LA,United States,70113,504-584-1228,,11030000,0
"ADVISORS TRUST PLANNING & INVESTMENT COMPANY, INC.",ADVISORS TRUST PLANNING AND INVESTMENT COMPANY,"1185 IMMOKALEE ROAD, SUITE #120",NAPLES,FL,United States,34110,239-434-7500,HTTP://ADVISORSTRUST.COM/,11034098,11-25
"REDMONT CAPITAL, LLC",REDMONT CAPITAL,820 SHADES CREEK PARKWAY,BIRMINGHAM,AL,United States,35209,205-943-5125,https://www.linkedin.com/company/redmont-venture-partners/,11035353,
"NICKERSON, ERIC JAMES",E.J. NICKERSON CO.,,,,,,719 428 9429,HTTP://WWW.THIRDCENTURY.ORG,11040849,0
SOBEL FINANCIAL LLC,SOBEL FINANCIAL LLC,2000 S. COLORADO BLVD.,DENVER,CO,United States,80222,720-583-8222,https://www.sobelfinancial.com,11047478,1-10
"GUARDIAN WEALTH MANAGEMENT, LLC","GUARDIAN WEALTH MANAGEMENT, LLC",100 S. 4TH STREET,ST. LOUIS,MO,United States,63102,314-797-4347,http://www.MidwestMoneyRadio.com,11050000,1-10
"FONDREN OAKS CAPITAL MANAGEMENT, LLC",FONDREN OAKS CAPITAL MANAGEMENT,3100 MONTICELLO,DALLAS,TX,United States,75205,(214) 484-3073,HTTP://WWW.FONDRENOAKSCAPITAL.COM,11052752,0
CAPITAL TRUST AND ASSOCIATES LLC,CAPITAL TRUST AND ASSOCIATES LLC,,,,,,203-745-2020,HTTP://WWW.CAPITALTRUSTLLC.COM,11058113,51-100
"PRIAD.COM INVESTMENT ADVISERS,L.L.C.","PRIAD INVESTMENT ADVISERS, L.L.C.",,,,,,512-447-3065,,11058167,0
"J. B. BRYAN FINANCIAL GROUP, INC.","J. B. BRYAN FINANCIAL GROUP, INC.",3900 WESTERRE PKWY,RICHMOND,VA,United States,23233,804-780-1025,HTTPS://WWW.FACEBOOK.COM/AFROECONOMICS/,11060000,101-250
10X10Y LLC,10X10Y LLC,,,,,,413-218-0041,,11062447,
COULEUR INVESTMENTS LLC,COULEUR INVESTMENTS,,,,,,224-616-1686,,11062560,0
1062611 ONTARIO LIMITED,GARY KLEIN CONSULTING,,,,,,416-781-6163,,11066552,0
MOUNTAINEER ASSET MANAGEMENT LLC,MOUNTAINPOINT INVESTMENT ADVISORS,,,,,,908-516-4469,https://www.mountainpoint-ia.com,11067946,1-10
"CARLISLE FINANCIAL GROUP, LLC","CARLISLE FINANCIAL GROUP, LLC",,,,,,978-505-5799,https://www.facebook.com/Carlisle-Financial-Group-LLC-451624098241443/,11069955,0
PORTFOLIO THINKTANK,"GRAVITY CAPITAL PARTNERS, LLC",,,,,,9704728489,https://portfoliothinktank.com,11071726,1-10
AMG WEALTH MANAGEMENT LLC,AMG WEALTH MANAGEMENT LLC,,,,,,813.244.7661,HTTPS://www.amg-wealth.com,11073564,51-100
"BROOKS FINANCIAL ADVISORY GROUP,INC.","BROOKS FINANCIAL ADVISORY GROUP,INC.",,,,,,561-514-8803,HTTP://WWW.BROOKSIA.COM,11082193,
PARLAN FINANCIAL CORP,PARLAN FINANCIAL CORP,7710 HILL AVENUE,TOLEDO,OH,United States,43528,419-885-1130,,11093702,0
"LYONS, JOSHUA CHARLES",LYONS ASSET MANAGEMENT,,,,,,860-572-8529,HTTP://WWW.LYONSASSET.COM,11100000,0
"WAINWRIGHT, WILLIAM NELSON","WAINWRIGHT WEALTH MANAGEMENT, LLC",,,,,,314-348-3021,,11100000,1-10
"WEALTH MANAGEMENT PARTNERS OF MICHIGAN, LLC","WEALTH MANAGEMENT PARTNERS OF MICHIGAN, LLC",,,,,,800-725-6370,HTTP://WWW.THE401KINSIDER.COM,11100904,0
ROWAN FINANCIAL LLC,ROWAN FINANCIAL LLC,,,,,,(610) 615-0600,https://www.youtube.com/channel/UCyHRp41hNmlJI8CWRHuChAA/,11101552,11-25
"NORTHBROOK FINANCIAL GROUP, LLC","NORTHBROOK FINANCIAL GROUP, LLC",1010 RACQUET CLUB DRIVE,AUBURN,CA,United States,95603,530-889-0400,HTTP://WWW.NORTHBROOKLLC.COM,11108500,0
TUROV INVESTMENT GROUP INC.,TUROV INVESTMENT GROUP INC.,,,,,,858-538-3400,HTTP://WWW.DANIELTUROV.COM/,11113682,0
FINTENTIONAL LLC,FINTENTIONAL LLC,,,,,,248-607-0672,HTTPS://WWW.LINKEDIN.COM/COMPANY/15222665,11119454,51-100
360 DEGREES CAPITAL MANAGEMENT LLC,360 DEGREES CAPITAL MANAGEMENT LLC,,,,,,732-586-8648,,11130195,
"PHASE TWO CAPITAL, LLC","PHASE TWO CAPITAL, LLC",,,,,,650-391-3639,http://www.phasetwocapital.com/,11137556,
"DELPHI ADVISERS, LLC",DELPHI ADVISERS,7018 NE 40TH AVE STE 101,VANCOUVER,WA,United States,98661,8005710076,https://www.DelphiAdvisers.com,11144422,1-10
